OBJECTID,Código Sector Catastral,Nombre Sector Catastral,Mes,Total Homicidios 2018,Total Homicidios 2019,Total Homicidios 2020,Variación Homicidios 2021-2022 %,Total Homicidios 2022 Bogotá D.C.,Total Lesiones Personales 2018,Total Lesiones Personales 2019,Total Lesiones Personales 2020,Variación Lesiones Personales 2021-2022 %,Total Lesiones Personales 2022 Bogotá D.C.,Total Hurto Personas 2018,Total Hurto Personas 2019,Total Hurto Personas 2020,Variación  Hurto Personas 2021-2022 %,Total Hurto Personas 2022 Bogotá D.C.,Total Hurto Residencias 2018,Total Hurto Residencias 2019,Total Hurto Residencias 2020,Variación  Hurto Residencias 2021-2022 %,Total Hurto Residencias 2022 Bogotá D.C.,Total Hurto Automotores 2018,Total Hurto Automotores 2019,Total Hurto Automotores 2020,Variación  Hurto Automotores 2021-2022 %,Total Hurto Automotores 2022 Bogotá D.C.,Total Hurto Bicicletas 2018,Total Hurto Bicicletas 2019,Total Hurto Bicicletas 2020,Variación  Hurto Bicicletas 2021-2022 %,Total Hurto Bicicletas 2022 Bogotá D.C.,Total Hurto Comercio 2018,Total Hurto Comercio 2019,Total Hurto Comercio 2020,Variación  Hurto Comercio 2021-2022 %,Total Hurto Comercio 2022 Bogotá D.C.,Total Hurto Celulares 2018,Total Hurto Celulares 2019,Total Hurto Celulares 2020,Variación  Hurto Celulares 2021-2022 %,Total Hurto Celulares 2022 Bogotá D.C.,Total Hurto Motocicletas 2018,Total Hurto Motocicletas 2019,Total Hurto Motocicletas 2020,Variación  Hurto Motocicletas 2021-2022 %,Total Hurto Motocicletas 2022 Bogotá D.C.,Total Hurto Entidades Financieras  2018,Total Hurto Entidades Financieras  2019,Total Hurto Entidades Financieras  2020,Variación  Hurto Entidades Financieras  2021-2022 %,Total Hurto Entidades Financieras  2022 Bogotá D.C.,Total Delitos Sexuales 2018,Total Delitos Sexuales 2019,Total Delitos Sexuales 2020,Variación  Delitos Sexuales 2021-2022 %,Total Delitos Sexuales 2022 Bogotá D.C.,Total Violencia intrafamiliar 2018,Total Violencia intrafamiliar 2019,Total Violencia intrafamiliar 2020,Variación  Violencia intrafamiliar 2021-2022 %,Total Violencia intrafamiliar 2022 Bogotá D.C.,Total Homicidios 2021,Total Lesiones Personales 2021,Total Hurto Personas 2021,Total Hurto Residencias 2021,Total Hurto Automotores 2021,Total Hurto Bicicletas 2021,Total Hurto Celulares 2021,Total Hurto Motocicletas 2021,Total Hurto Entidades Financieras  2021,Total Hurto Comercio 2021,Total Delitos Sexuales 2021,Total Violencia intrafamiliar 2021,Total Homicidios 2022,Total Lesiones Personales 2022,Total Hurto Personas 2022,Total Hurto Residencias 2022,Total Hurto Automotores 2022,Total Hurto Bicicletas 2022,Total Hurto Celulares 2022,Total Hurto Motocicletas 2022,Total Hurto Entidades Financieras  2022,Total Hurto Comercio 2022,Total Delitos Sexuales 2022,Total Violencia intrafamiliar 2022,coord_x,coord_y
1135,009226,SALITRE SUBA,Ene-Abr,0,0,0,100,296,12,11,3,-75,"7,760",25,30,17,106.67,"36,368",5,4,3,-40,"1,759",3,0,0,0,"1,104",1,2,0,0,"2,805",4,3,1,100,"2,308",12,13,11,88.89,"19,286",2,0,1,100,"1,552",0,0,0,0,1,7,3,3,100,"2,196",28,14,26,14.29,"11,410",0,12,15,5,0,2,9,0,0,1,0,14,1,3,31,3,0,2,17,1,0,2,2,16,"-74,08282594373551","4,75554443456617"
1136,108110,TORCA RURAL II,Ene-Abr,0,0,0,0,296,1,0,0,0,"7,760",3,1,2,100,"36,368",0,0,0,0,"1,759",0,0,0,0,"1,104",0,0,0,0,"2,805",1,0,0,0,"2,308",3,0,0,100,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,1,0,"2,196",0,0,0,0,"11,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,"-74,02068417242124","4,798289465067686"
1137,005664,EL DORADO,Ene-Abr,0,1,0,0,296,1,4,3,200,"7,760",20,18,20,12.50,"36,368",0,1,0,100,"1,759",2,0,0,-100,"1,104",2,8,7,-50,"2,805",4,2,3,-100,"2,308",12,10,7,-50,"19,286",1,1,0,0,"1,552",0,0,0,0,1,0,2,1,0,"2,196",0,2,1,100,"11,410",0,1,16,0,1,2,14,0,0,3,0,0,0,3,18,1,0,1,7,0,0,0,0,1,"-74,12253277027708","4,735033198746626"
106,001106,SAN BLAS,Ene-Abr,1,0,0,0,296,6,11,5,-33.33,"7,760",11,16,12,188.89,"36,368",2,1,1,-100,"1,759",0,0,0,100,"1,104",1,0,0,100,"2,805",5,2,1,-100,"2,308",8,4,6,175,"19,286",1,3,1,50,"1,552",0,0,0,0,1,1,2,5,0,"2,196",15,15,16,12.50,"11,410",0,12,9,1,0,1,4,2,0,1,4,8,0,8,26,0,1,2,11,3,0,0,4,9,"-74,08362954237974","4,567949894042727"
1130,002460,ARBORIZADORA ALTA I,Ene-Abr,0,0,0,100,296,3,9,1,700,"7,760",0,7,6,-64.29,"36,368",1,1,0,100,"1,759",1,0,0,0,"1,104",0,2,1,-100,"2,805",2,3,1,0,"2,308",1,5,4,-77.78,"19,286",0,0,1,0,"1,552",0,0,0,0,1,4,0,0,100,"2,196",10,2,15,20,"11,410",0,1,14,0,0,1,9,0,0,0,0,5,1,8,5,1,0,0,2,0,0,0,3,6,"-74,15633306180338","4,568356771298043"
224,008420,PARAMO URBANO I,Ene-Abr,0,0,0,0,296,0,0,1,50,"7,760",0,0,0,100,"36,368",0,0,0,0,"1,759",0,0,0,0,"1,104",0,0,0,100,"2,805",0,0,0,0,"2,308",0,0,0,100,"19,286",0,0,1,100,"1,552",0,0,0,0,1,0,0,2,0,"2,196",1,0,3,200,"11,410",0,2,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,1,1,0,0,0,3,"-74,02269343406343","4,70378733029666"
169,002513,LAS ACACIAS,Ene-Abr,4,0,3,200,296,31,35,22,-13.33,"7,760",38,56,41,-6.35,"36,368",5,6,5,-85.71,"1,759",1,3,2,100,"1,104",0,0,1,-66.67,"2,805",8,7,8,-71.43,"2,308",27,30,27,-11.11,"19,286",7,3,3,-14.29,"1,552",0,0,0,0,1,4,12,14,83.33,"2,196",48,49,186,325,"11,410",1,30,63,7,0,3,36,7,0,7,6,20,3,26,59,1,2,1,32,6,0,2,11,85,"-74,14420108943423","4,562728656125409"
874,007106,ESTRELLA,Ene-Abr,0,0,0,0,296,11,1,0,200,"7,760",29,40,30,6.45,"36,368",1,0,0,-50,"1,759",1,0,1,-100,"1,104",1,1,4,-50,"2,805",5,4,8,-66.67,"2,308",14,22,21,37.50,"19,286",0,0,0,0,"1,552",1,0,0,0,1,1,0,1,100,"2,196",2,1,1,100,"11,410",0,1,31,2,1,2,16,1,0,3,0,1,0,3,33,1,0,1,22,1,0,1,1,2,"-74,07657779147587","4,622093979185101"
992,005672,LAS NAVETAS,Ene-Abr,0,0,0,0,296,0,0,0,0,"7,760",0,0,0,0,"36,368",0,0,0,0,"1,759",0,0,0,0,"1,104",0,0,0,0,"2,805",0,0,0,0,"2,308",0,0,0,0,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,0,0,"2,196",0,0,0,0,"11,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-74,1588005555226","4,706371337789461"
993,006407,GUADUAL FONTIBON,Ene-Abr,0,0,0,0,296,9,3,0,200,"7,760",17,16,11,0,"36,368",4,6,2,-50,"1,759",0,2,0,100,"1,104",0,3,1,100,"2,805",4,2,4,0,"2,308",13,7,5,-21.43,"19,286",1,0,0,0,"1,552",0,0,0,0,1,3,1,2,100,"2,196",15,17,13,0,"11,410",0,2,21,2,0,0,14,0,0,1,1,7,0,6,21,1,4,3,11,0,0,1,2,7,"-74,14425818564236","4,667511638734936"
